urban_area,year_range_CRU,annual_tmp
Aarhus,1991-2020,8.53277792127596
Bern,1991-2020,7.75722236970647
Bodø,1991-2020,4.3355556294529
Brno,1991-2020,9.14638901917885
Gent,1991-2020,11.2591668983507
Greifswald,1991-2020,9.20777794143392
Groningen,1991-2020,9.88694462039405
Konstanz,1991-2020,9.9972223924266
Leuven,1991-2020,10.9566668513955
Ljubljana,1991-2020,8.85194460530248
Montreal,1991-2020,6.10472231527997
Oxford,1991-2020,10.3958335395695
Rennes,1991-2020,12.2230557931794
SF Bay Area,1991-2020,15.0569447331958
Santa Cruz,1991-2020,14.4855558130476
St. John's,1991-2020,5.38138897665259
Torhout,1991-2020,11.0466668937769
Torino,1991-2020,12.4022224171087
Trondheim,1991-2020,4.89861119182573
Vancouver,1991-2020,9.38444461493443
Verbania,1991-2020,12.2611113324141
Warwick,1991-2020,10.2230557264967
