LOCATION,urban_area,country
SANFRANCISCO,SF Bay Area,United States
BERKELEY,SF Bay Area,United States
SANTA_CRUZ,Santa Cruz,United States
VANCOUVER,Vancouver,Canada
MONTREAL,Montreal,Canada
ST_JOHN,St. John's,Canada
RENNES,Rennes,France
OXFORD,Oxford,United Kingdom
WARWICK,Warwick,United Kingdom
BERN,Bern,Switzerland
TORINO,Torino,Italy
VERBANIA,Verbania,Italy
LJUBLJANA,Ljubljana,Slovenia
BRNO,Brno,Czech Republic
KONSTANZ,Konstanz,Germany
GREIFSWALD,Greifswald,Germany
WIJNENDALE,Torhout,Belgium
GENT,Gent,Belgium
LEUVEN,Leuven,Belgium
AARHUS,Aarhus,Denmark
GRONINGEN,Groningen,Netherlands
TRONDHEIM,Trondheim,Norway
BODO,Bodø,Norway
