ID,abdomen_brightness,avg_leafdark,avg_leaflight,white,grey1,grey2,grey3,grey4,grey5,grey6,grey7,black
1.2021,106.0419689,35.66666667,103,234.6666667,202.6666667,181.6666667,133.3333333,91.33333333,46,5,3,2
10.1.2021,69.82292108,59.66666667,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.2.2021,92.85172438,83,141.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3.2021,105.2189635,121.3333333,147.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.1.2021,67.56944239,22,67.33333333,236.6666667,201.3333333,173.3333333,139.6666667,99,48.66666667,20.66666667,4.333333333,1.666666667
11.2.2021,65.29224787,19.33333333,45,233.6666667,213.6666667,163.6666667,141.3333333,89,58.33333333,43.33333333,7,3.666666667
11.3.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.1.2021,74.87141167,46,78,221,195.6666667,143,120.3333333,106.6666667,71.66666667,43.66666667,29.33333333,19.33333333
13.1.2021,59.97270799,26.66666667,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.2.2021,38.44729222,11.66666667,38,203.3333333,176,136.6666667,98.66666667,72,37.33333333,15.66666667,3.666666667,1.333333333
13.3.2021,61.42457293,23.33333333,50.66666667,212,183.6666667,147.3333333,116.6666667,81.66666667,49.33333333,21,14.66666667,10.66666667
14.1.2021,71.63900179,50.66666667,81.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.2.2021,86.09309026,39.33333333,104,222,196.6666667,163.6666667,105,116.6666667,77,43.66666667,9.666666667,5.666666667
14.3.2021,78.10659245,61.66666667,88,225,197,162,114,102,43.66666667,22,6,3
15.1.2021,58.81858848,39.33333333,76.33333333,237.3333333,201.6666667,173.3333333,149.6666667,129.3333333,64,28.33333333,9.666666667,4.333333333
15.2.2021,129.0802041,100.3333333,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.3.2021,80.34020437,36,84,233,199.3333333,180,129.6666667,118.6666667,73,10.33333333,11,9
16.1.2021,98.57766997,68.66666667,122.6666667,225,190,156,122,84.33333333,65.33333333,11,5,2
16.2.2021,49.67658792,35,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.3.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.1.2021,75.56942084,44.66666667,51.66666667,213,178.3333333,166.3333333,111.3333333,87.66666667,45.33333333,14,3.333333333,1
17.2.2021,NA,60.66666667,67.33333333,218.3333333,176.3333333,164.3333333,104.3333333,91,49.33333333,14.33333333,2.666666667,1.333333333
18.1.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.2.2021,62.46044177,44,106,213.3333333,184,136.6666667,99.33333333,68,30,5.666666667,2.666666667,2
18.3.2021,NA,39.66666667,97.66666667,238.6666667,220.6666667,183,145.6666667,109.6666667,68,18.66666667,3.666666667,1.666666667
21.1.2021,124.4496732,34.66666667,136,241,213.6666667,195.3333333,182,136,79,34.66666667,21.66666667,21
21.2.2021,100.3037415,52.66666667,102.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.1.2021,NA,32.33333333,45.66666667,228.6666667,204.3333333,138,129.6666667,76.66666667,45,13.66666667,5.666666667,2
22.2.2021,70.88687971,6.666666667,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.3.2021,64.58160534,25,69.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.1.2021,NA,73,120.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.2.2021,42.149664370000004,8,40.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.3.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.1.2021,64.13404506,39.33333333,83.33333333,184.3333333,163.6666667,128.6666667,102,74.33333333,51.66666667,20,8.333333333,3.666666667
24.2.2021,85.27553866,53.66666667,92.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.3.2021,84.77240749,35.33333333,94.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.1.2021,85.28494308,39,117,212.3333333,192.3333333,139,105,66.66666667,44,14.66666667,4.666666667,1.666666667
25.2.2021,104.3167924,60.66666667,127,221.3333333,191.3333333,156.6666667,118.3333333,82.66666667,50.33333333,23.66666667,7.666666667,3
25.3.2021,NA,77,123,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.1.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2.2021,111.2864269,83,122.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.1.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.1.2021,61.11947627,27.66666667,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.2.2021,62.32189553,40.66666667,54,230.6666667,194,152,98.66666667,53.66666667,53.66666667,35,25.66666667,21.33333333
32.1.2021,63.42555532,36,67.33333333,170.3333333,144.3333333,113.3333333,93.33333333,64.33333333,38.66666667,20,13.66666667,14
33.1.2021,73.74174068,57.66666667,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.1.2021,89.2620421,76,80.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.2.2021,43.94470437,20.66666667,35.66666667,173.3333333,143.6666667,110,84,57.66666667,32.66666667,14.66666667,10.33333333,8.666666667
36.1.2021,52.69852088,17.66666667,33.33333333,198.3333333,167.6666667,120,99.66666667,74,41.66666667,23,15.66666667,12.33333333
36.2.2021,101.7574164,75,105,225.6666667,194,155,124.3333333,93.33333333,61,34.33333333,23.33333333,20.33333333
36.3.2021,85.54294655,55,86.66666667,220.6666667,191.6666667,155,119.3333333,87.66666667,59,33.33333333,22.33333333,19.33333333
37.1.2021,58.29149634,55.66666667,77.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
37.2.2021,38.42336924,17,38.33333333,175.3333333,145.6666667,112.3333333,85,56.66666667,31.33333333,15.66666667,10,8.666666667
37.3.2021,88.87,70,91.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
38.1.2021,44.50476715,29,37.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.1.2021,114.207685,119.3333333,135.3333333,214.3333333,189.3333333,139.6666667,116.6666667,73,40.66666667,17,6,3
4.2.2021,96.22856067,40.66666667,103.6666667,226.3333333,202.6666667,164.6666667,121.6666667,91,52,14.66666667,5,3.666666667
4.3.2021,72.37219326,17.66666667,46,221,196.6666667,184.6666667,160,118.6666667,72.33333333,25.33333333,10.66666667,7.333333333
40.1.2021,52.55187599,34,66.33333333,216,186,151.6666667,118.3333333,92.33333333,63.66666667,39.33333333,29,24.66666667
40.2.2021,61.10326001,25.66666667,47.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
40.3.2021,85.68718896,80,102.6666667,235,211,163,129.6666667,97.33333333,61.33333333,34,22,20
5.1.2021,133.5187999,97,146,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2.2021,117.0901073,106,142,203.3333333,197,169.3333333,119,117.6666667,80.66666667,47,34.66666667,29
5.3.2021,105.5135111,53.66666667,113,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.1.2021,75.94198299,37,86.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2.2021,128.3332023,86,109.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.3.2021,94.14124294,88.33333333,124.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.1.2021,95.54361102,28.66666667,105.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.2.2021,106.9430325,69,142,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.3.2021,113.6122916,64.33333333,122,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2.2021,76.16699633,36.66666667,85.66666667,240,213.3333333,209,155,106.6666667,76.33333333,36.66666667,9.666666667,5.666666667
8.3.2021,70.01198556,47,85.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.1.2021,72.06347059,60,113.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.2.2021,82.68862312,57,93.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.3.2021,59.46405819,52.33333333,63,186.3333333,158,134.6666667,115,66.33333333,34.66666667,8,4.666666667,4
154003,78.95365831,42,74.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
154148,NA,61,129,177,159.3333333,129.6666667,90.33333333,67.66666667,45,26.66666667,9,5.333333333
154149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154170,92.99671406,63,118.6666667,165.3333333,139.6666667,110,77.33333333,50,32.33333333,17,10.66666667,9.333333333
154171,NA,16.66666667,59,199.6666667,175.6666667,152,110,67.33333333,40.66666667,19.66666667,3,2.333333333
154362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154364,39.94724477,11.66666667,32.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
154366,61.44665538,42.66666667,56.33333333,186.3333333,162,120.3333333,87,72.33333333,50.66666667,43.66666667,25,25.33333333
154367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154368,91.85499085,59.33333333,91.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
154372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154376,NA,27.33333333,58,214,194,158.6666667,119.3333333,83,53,34.33333333,16.66666667,12.66666667
154377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154379,NA,63.66666667,104.3333333,176,153,124,90.33333333,58.66666667,43.66666667,22.33333333,11,11.33333333
154380,NA,57.33333333,113,183.3333333,159.6666667,132.3333333,100,65.66666667,53.66666667,30.33333333,14.33333333,18.33333333
154381,113.7048963,91,119.3333333,180.6666667,162.6666667,139.3333333,111.3333333,86,64.66666667,42.33333333,24,17.33333333
154382,NA,33.66666667,76.66666667,187.3333333,166.3333333,127.3333333,103,72,56,44,36.66666667,27.66666667
154383,86.18630137,51.66666667,74.66666667,166.6666667,149,121.6666667,96.66666667,68.66666667,50.66666667,30.33333333,17,15
154384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154385,NA,58.66666667,65,177,159,127.3333333,99.33333333,69.66666667,49,25.66666667,15.33333333,15.66666667
154387,110.7547838,60,146,NA,NA,NA,NA,NA,NA,NA,NA,NA
154412,44.86452735,16,28.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
154413,NA,92.33333333,135.6666667,207,187.3333333,148.6666667,101.3333333,58.66666667,34.33333333,18.66666667,11,9
154723,NA,26,70.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
154724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154728,75.21281465,29,57.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
154990,112.1044023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155032,95.79229568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155038,155.9159021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156191,NA,30.66666667,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
156216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156379,122.0766496,67.33333333,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
156380,61.26012793,20.33333333,78,170.6666667,133,95.33333333,69,50,30.66666667,20.33333333,13.33333333,14.66666667
156398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156460,NA,24.66666667,77.33333333,157.6666667,140,108.3333333,77.66666667,54.66666667,43,19,2.333333333,3.333333333
156462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156706,81.27010944,40.66666667,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
156707,51.59033575,21,50.66666667,237,205,153.3333333,116.3333333,77.66666667,55,36.66666667,27,28
156709,91.82893657,71,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
156712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156713,NA,11,36.66666667,168,132.3333333,97.33333333,71.33333333,49.66666667,33,22.33333333,16.33333333,16
156716,NA,76,140.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
156718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156720,NA,46.33333333,77.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
